InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,1
1100,0,1
1200,1,1
1300,1,2
1400,1,2
1500,1,2
1600,1,2
1700,1,2
1800,1,3
1900,1,3
2000,1,4
2100,2,4
2200,3,5
2300,2,4
2400,2,5
2500,3,6
2600,3,6
2700,3,6
2800,3,7
2900,4,7
3000,3,8
3100,4,10
3200,4,11
3300,4,11
3400,5,11
3500,5,12
3600,6,14
3700,6,15
3800,6,14
3900,6,14
4000,7,16
4100,7,16
4200,7,17
4300,7,17
4400,8,17
4500,9,20
4600,9,21
4700,9,22
4800,11,22
4900,11,23
5000,11,24
5100,12,26
5200,12,26
5300,12,26
5400,13,28
5500,13,29
5600,13,30
5700,14,32
5800,14,33
5900,14,33
6000,15,35
6100,16,35
6200,16,39
6300,16,40
6400,17,42
6500,17,42
6600,18,43
6700,19,44
6800,19,46
6900,19,48
7000,21,49
7100,21,51
7200,23,53
7300,23,55
7400,23,60
7500,24,59
7600,26,61
7700,25,60
7800,26,62
7900,26,65
8000,27,67
8100,28,70
8200,28,71
8300,29,72
8400,31,77
8500,31,83
8600,32,78
8700,33,81
8800,35,88
8900,34,89
9000,35,93
9100,37,91
9200,38,100
9300,38,96
9400,40,94
9500,40,96
9600,41,97
9700,43,104
9800,41,104
9900,44,107
10000,45,107
10100,47,111
10200,47,113
10300,51,114
10400,48,123
10500,52,123
10600,52,126
10700,52,129
10800,54,131
10900,55,129
11000,55,132
11100,57,147
11200,57,141
11300,59,140
11400,61,147
11500,62,153
11600,65,160
11700,67,150
11800,70,157
11900,72,156
12000,70,158
12100,74,160
12200,72,165
12300,72,176
12400,75,180
12500,78,174
12600,77,174
12700,78,181
12800,78,202
12900,82,191
13000,86,191
13100,85,234
13200,88,200
13300,89,207
13400,89,209
13500,90,215
13600,92,235
13700,92,212
13800,94,221
13900,96,223
14000,99,223
14100,102,223
14200,107,225
14300,106,243
14400,108,238
14500,107,241
14600,110,256
14700,111,242
14800,112,247
14900,114,262
15000,114,270
15100,120,277
15200,118,268
15300,123,265
15400,121,274
15500,127,271
15600,127,278
15700,133,274
15800,129,284
15900,140,282
16000,139,300
16100,139,295
16200,141,302
16300,142,318
16400,140,340
16500,145,316
16600,145,326
16700,149,331
16800,146,323
16900,149,348
17000,153,366
17100,154,347
17200,156,354
17300,159,340
17400,161,344
17500,161,348
17600,166,349
17700,169,364
17800,179,359
17900,177,393
18000,175,397
18100,171,392
18200,179,397
18300,176,389
18400,182,395
18500,180,414
18600,185,393
18700,191,426
18800,198,418
18900,202,414
19000,199,443
19100,201,433
19200,204,444
19300,205,426
19400,219,432
19500,205,451
19600,207,462
19700,211,458
19800,223,466
19900,220,473
