InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,1,0,0
1100,1,0,0
1200,0,0,0
1300,1,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,2,0,0
1800,1,0,0
1900,2,0,0
2000,2,0,0
2100,2,0,0
2200,2,0,0
2300,3,0,0
2400,3,0,0
2500,3,0,0
2600,4,0,0
2700,4,0,0
2800,4,0,0
2900,4,0,0
3000,5,0,0
3100,5,0,0
3200,5,0,0
3300,6,0,0
3400,6,0,0
3500,6,0,0
3600,7,0,0
3700,7,0,0
3800,8,0,0
3900,8,0,0
4000,9,0,0
4100,9,0,0
4200,11,0,0
4300,10,0,0
4400,11,0,0
4500,12,0,0
4600,12,0,0
4700,13,0,0
4800,13,0,0
4900,13,0,0
5000,14,0,0
5100,14,0,0
5200,15,0,0
5300,15,0,0
5400,18,0,0
5500,17,0,0
5600,17,0,0
5700,18,0,0
5800,18,0,0
5900,19,0,0
6000,19,0,0
6100,20,0,0
6200,21,0,0
6300,24,0,0
6400,25,0,0
6500,27,0,0
6600,24,0,0
6700,26,0,0
6800,30,0,0
6900,25,0,0
7000,27,0,0
7100,29,0,0
7200,28,0,0
7300,29,0,0
7400,31,0,0
7500,32,0,0
7600,31,0,0
7700,33,0,0
7800,33,0,0
7900,35,0,0
8000,35,0,0
8100,36,0,0
8200,38,0,0
8300,38,0,0
8400,39,0,0
8500,40,0,0
8600,41,0,0
8700,41,0,0
8800,42,0,0
8900,42,0,0
9000,45,0,0
9100,45,0,0
9200,47,0,0
9300,47,0,0
9400,49,0,0
9500,49,0,0
9600,51,0,0
9700,52,0,0
9800,53,0,0
9900,57,0,0
10000,55,0,0
10100,57,0,0
10200,59,0,0
10300,59,0,0
10400,60,0,0
10500,64,0,0
10600,63,0,0
10700,68,0,0
10800,65,0,0
10900,69,0,0
11000,71,0,0
11100,70,0,0
11200,70,0,0
11300,71,0,0
11400,75,0,0
11500,77,0,0
11600,77,0,0
11700,87,0,0
11800,80,0,0
11900,84,0,0
12000,84,0,0
12100,82,0,0
12200,85,0,0
12300,90,0,0
12400,90,0,0
12500,93,0,0
12600,98,0,0
12700,94,0,0
12800,97,0,0
12900,100,0,0
13000,100,0,0
13100,114,0,0
13200,101,0,0
13300,103,0,0
13400,103,0,0
13500,122,0,0
13600,108,0,0
13700,125,0,0
13800,113,0,0
13900,118,0,0
14000,118,0,0
14100,119,0,0
14200,121,0,0
14300,119,0,0
14400,125,0,0
14500,128,0,0
14600,126,0,0
14700,131,0,0
14800,137,0,0
14900,163,0,0
15000,143,0,0
15100,142,0,0
15200,140,0,0
15300,141,0,0
15400,143,0,0
15500,149,0,0
15600,148,0,0
15700,146,0,0
15800,155,0,0
15900,172,0,0
16000,154,0,0
16100,156,0,0
16200,162,0,0
16300,167,0,0
16400,163,0,0
16500,166,0,0
16600,171,0,0
16700,171,0,0
16800,173,0,0
16900,173,0,0
17000,177,0,0
17100,181,0,0
17200,199,0,0
17300,183,0,0
17400,202,0,0
17500,189,0,0
17600,196,0,0
17700,197,0,0
17800,216,0,0
17900,211,0,0
18000,203,0,0
18100,204,0,0
18200,205,0,0
18300,211,0,0
18400,212,0,0
18500,206,0,0
18600,222,0,0
18700,215,0,0
18800,221,0,0
18900,219,0,0
19000,223,0,0
19100,227,0,0
19200,236,0,0
19300,228,0,0
19400,239,0,0
19500,239,0,0
19600,247,0,0
19700,248,0,0
19800,246,0,0
19900,248,0,0
