InputIndices,TestResults
0,0
100,0
200,0
300,0
400,1
500,1
600,1
700,1
800,2
900,2
1000,3
1100,3
1200,3
1300,3
1400,3
1500,3
1600,4
1700,4
1800,4
1900,4
2000,4
2100,6
2200,6
2300,6
2400,7
2500,8
2600,7
2700,7
2800,8
2900,7
3000,7
3100,8
3200,8
3300,9
3400,10
3500,9
3600,8
3700,9
3800,9
3900,10
4000,11
4100,13
4200,14
4300,10
4400,11
4500,12
4600,12
4700,13
4800,12
4900,13
5000,14
5100,14
5200,12
5300,14
5400,16
5500,14
5600,14
5700,16
5800,17
5900,17
6000,18
6100,20
6200,18
6300,18
6400,19
6500,24
6600,20
6700,22
6800,23
6900,23
7000,25
7100,22
7200,24
7300,23
7400,21
7500,25
7600,26
7700,25
7800,24
7900,27
8000,26
8100,29
8200,27
8300,26
8400,29
8500,31
8600,26
8700,28
8800,27
8900,27
9000,29
9100,33
9200,29
9300,33
9400,33
9500,30
9600,30
9700,29
9800,31
9900,31
10000,29
10100,30
10200,31
10300,26
10400,25
10500,28
10600,25
10700,26
10800,24
10900,24
11000,25
11100,24
11200,22
11300,23
11400,23
11500,23
11600,23
11700,23
11800,23
11900,23
12000,24
12100,22
12200,20
12300,22
12400,21
12500,20
12600,22
12700,22
12800,23
12900,23
13000,22
13100,22
13200,18
13300,18
13400,17
13500,18
13600,20
13700,20
13800,16
13900,16
14000,16
14100,15
14200,15
14300,16
14400,14
14500,13
14600,13
14700,13
14800,13
14900,13
15000,12
15100,12
15200,11
15300,12
15400,13
15500,11
15600,11
15700,11
15800,10
15900,10
16000,9
16100,9
16200,9
16300,10
16400,8
16500,8
16600,9
16700,9
16800,8
16900,8
17000,7
17100,7
17200,7
17300,8
17400,8
17500,6
17600,5
17700,5
17800,5
17900,6
18000,5
18100,5
18200,4
18300,4
18400,4
18500,5
18600,3
18700,3
18800,4
18900,3
19000,5
19100,2
19200,2
19300,1
19400,1
19500,1
19600,1
19700,0
19800,0
19900,0
